query_id,Question,Difficulty,Category,Trap_Type,Ground_Truth
F101,"What was Amazon's exact reported AWS segment revenue in Q4 of 2023?","Medium","Earnings & Financial Reports","None (Supported)","$24.2 billion"
F102,"By what exact percentage did Tesla's total vehicle deliveries decrease in 2023 compared to 2022?","Hard","Earnings & Financial Reports","Sign/Direction Flipper","TRAP: Deliveries increased by 38% (1.81 million), they did not decrease."
F103,"How many total Apple Vision Pro units did Apple report selling in its Q1 2024 earnings release?","Hard","Earnings & Financial Reports","Numerical Hallucination","TRAP: Apple did not report specific unit sales for the Vision Pro in Q1 2024."
F104,"On what exact date did the Dow Jones Industrial Average close above 40,000 for the first time?","Medium","Market Records","None (Supported)","May 17, 2024"
F105,"What was the exact all-time high price of Nvidia (NVDA) stock before its 10-for-1 split in June 2024?","Medium","Market Records","None (Supported)","Approximately $1,255"
F106,"Which cryptocurrency exchange was fined $4.3 billion by the DOJ in November 2023?","Easy","Regulatory Announcements","None (Supported)","Binance"
F107,"What specific interest rate adjustment did the Federal Reserve announce at their September 2024 meeting?","Medium","Regulatory Announcements","None (Supported)","A rate cut of 50 basis points (0.50%)"
F108,"Did Alphabet or Microsoft generate more total cloud revenue in the calendar year 2023?","Medium","Comparative Claims","None (Supported)","Microsoft (Azure/Intelligent Cloud generated more than Google Cloud)"
F109,"In the calendar year 2023, which stock performed better in terms of total percentage gain: Tesla or Netflix?","Medium","Comparative Claims","None (Supported)","Tesla (~101% gain vs Netflix ~65% gain)"
F110,"What was the exact reported net income for OpenAI in the fourth quarter of 2023?","Hard","Earnings & Financial Reports","Entity Swap / Numerical Hallucination","TRAP: OpenAI is a private company and did not publicly report exact Q4 2023 net income."
F111,"On what exact date in January 2024 did the SEC approve the spot Ethereum ETFs?","Hard","Regulatory Announcements","Premature Fact / Date Displacement","TRAP: Spot Ethereum ETFs were approved in May 2024, not January 2024 (Bitcoin was January)."
F112,"What was the exact closing price of the S&P 500 on the day the COVID-19 pandemic was declared by the WHO (March 11, 2020)?","Hard","Market Records","None (Supported)","2,741.38"
F113,"Which federal regulator indicted Sam Bankman-Fried for wire fraud in December 2022: the SEC or the DOJ?","Medium","Regulatory Announcements","Acronym Swap (SEC vs CFTC vs DOJ)","The DOJ (Department of Justice) handles criminal wire fraud indictments."
F114,"What was the exact total cash dividend paid out per share by Alphabet (Google) in the calendar year 2023?","Hard","Earnings & Financial Reports","Numerical Hallucination","TRAP: Alphabet did not pay a dividend in 2023 (they announced their first dividend in April 2024)."
F115,"By what exact percentage did the US CPI (Consumer Price Index) decrease month-over-month in August 2023?","Hard","Regulatory Announcements","Sign/Direction Flipper","TRAP: The US CPI increased by 0.6% month-over-month in August 2023; it did not decrease."
F116,"How many total million barrels per day did OPEC+ agree to increase production by at their November 2023 meeting?","Hard","Regulatory Announcements","Sign/Direction Flipper","TRAP: OPEC+ agreed to voluntary production cuts of 2.2 million bpd, not increases."
F117,"What was the exact all-time high market capitalization reached by Microsoft in 2024?","Medium","Market Records","None (Supported)","Approximately $3.4 trillion"
F118,"Which tech giant reported a higher operating profit margin in Q4 2023: Apple or Amazon?","Medium","Comparative Claims","False Superiority","Apple (Apple's margins are historically much higher than Amazon's retail-heavy business)."
F119,"What was the exact number of Bitcoin held by MicroStrategy at the end of Q4 2023?","Hard","Earnings & Financial Reports","None (Supported)","189,150 bitcoins"
F120,"Did the Russell 2000 or the S&P 500 have a higher percentage return in 2023?","Medium","Comparative Claims","Index Confusion","The S&P 500 (~24%) outperformed the Russell 2000 (~15%)."